experiment,controller_group,model,gpu,prefix_cache,run,phase,health_status,duration_s,windows,offered_mbps,delivered_mbps,access_rx_packets,core_tx_packets,app_qer_red_packets,policing_ratio,pdr_fail,far_fail,bad_route,n3_rx_drops,n6_tx_drops,action_count,fallback_count,tool_failure_count,oscillation_count,mean_llm_latency_ms,mean_total_tokens,notes,source_campaign
e2_threshold,baseline,,,,run_06,C,OK,84.0,,1098.6640024,574.57178,39999903.0,25348755.0,11314078,0.2828526359176421,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_06,D,OK,84.0,,627.8073968,518.0934733333333,22857066.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_07,A,OK,86.0,,627.8073853333334,518.0934733333333,22857065.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_07,B,OK,87.0,,941.7118173333333,507.741516,34285625.0,22400361.0,9484984,0.2766460951680506,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_07,C,OK,85.0,,1098.6640024,574.6035586666666,39999903.0,25350157.0,11312731,0.28281896083598,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_07,D,OK,86.0,,627.8073968,518.0934733333333,22857066.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_08,A,OK,86.0,,627.8073968,518.0934733333333,22857066.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_08,B,OK,84.0,,941.7118058666666,507.74108533333333,34285624.0,22400342.0,9485330,0.27665618686129206,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_08,C,WARN,84.0,,1098.6535490666665,574.6309853333333,39999523.0,25351367.0,11311182,0.2827829292560046,0,0,0,381,0,,,,,,,"tiny NIC drops n3_rx=381, n6_tx=0, rate=0.000006",/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_08,D,OK,85.0,,627.8073853333334,518.0934733333333,22857065.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_09,A,OK,84.0,,627.8073968,518.0934733333333,22857066.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_09,B,WARN,85.0,,941.7050490666667,507.728732,34285378.0,22399797.0,9485680,0.2766683803223637,0,0,0,246,0,,,,,,,"tiny NIC drops n3_rx=246, n6_tx=0, rate=0.000004",/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_09,C,OK,84.0,,1098.6640138666667,574.5481386666667,39999904.0,25347712.0,11315099,0.2828781609795404,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_09,D,OK,84.0,,627.8073853333334,518.0934733333333,22857065.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_10,A,OK,84.0,,627.8073968,518.0934733333333,22857066.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_10,B,WARN,84.0,,941.6998578666667,507.7288226666667,34285189.0,22399801.0,9485353,0.2766603678340522,0,0,0,435,0,,,,,,,"tiny NIC drops n3_rx=435, n6_tx=0, rate=0.000008",/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_10,C,OK,85.0,,1098.6640138666667,574.6014053333333,39999904.0,25350062.0,11312892,0.28282298584574067,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_10,D,OK,84.0,,627.8073853333334,518.0934733333333,22857065.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_01,A,OK,84.0,,627.8073853333334,518.0934733333333,22857065.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_01,B,OK,84.0,,941.7118173333333,562.139884,34285625.0,24800289.0,9485335,0.27665633269500944,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_01,C,WARN,85.0,,1098.6494725333332,650.2067973333334,39999374.0,28685594.0,11313780,0.28284892658570104,0,0,0,529,0,,,,,,,"tiny NIC drops n3_rx=529, n6_tx=0, rate=0.000008",/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_01,D,OK,84.0,,627.8073968,518.0934733333333,22857066.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_02,A,OK,84.0,,627.8073853333334,518.0934733333333,22857065.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_02,B,OK,84.0,,941.7118173333333,562.1482026666666,34285625.0,24800656.0,9484968,0.27664562850015506,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_02,C,WARN,86.0,,1098.6608712,650.193356,39999789.0,28685001.0,11314788,0.2828711921455386,0,0,0,114,0,,,,,,,"tiny NIC drops n3_rx=114, n6_tx=0, rate=0.000002",/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_02,D,OK,86.0,,627.8072869333333,518.0933826666667,22857062.0,22857061.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_03,A,OK,84.0,,627.8072869333333,518.0933826666667,22857062.0,22857061.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_03,B,OK,84.0,,941.711696,562.1304773333334,34285620.0,24799874.0,9485746,0.27666835250463606,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_03,C,OK,84.0,,1098.6640024,650.2194453333334,39999903.0,28686152.0,11313751,0.2828444608978177,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_03,D,OK,85.0,,627.8072869333333,518.0933826666667,22857062.0,22857061.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_04,A,OK,85.0,,627.8072869333333,518.0933826666667,22857062.0,22857061.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_04,B,OK,86.0,,941.711696,562.1385013333334,34285620.0,24800228.0,9485392,0.27665802747624224,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_04,C,OK,87.0,,1098.6640138666667,650.2264493333333,39999904.0,28686461.0,11313442,0.28283673587908453,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_04,D,OK,85.0,,627.8072754666667,518.0933826666667,22857061.0,22857061.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_05,A,OK,84.0,,627.8072869333333,518.0933826666667,22857062.0,22857061.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_05,B,OK,84.0,,941.711696,562.141992,34285620.0,24800382.0,9485238,0.27665353579722346,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_05,C,OK,84.0,,1098.6640138666667,650.19798,39999904.0,28685205.0,11314698,0.2828681359552297,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_05,D,OK,85.0,,627.8072754666667,518.0933826666667,22857061.0,22857061.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_06,A,OK,87.0,,627.8072869333333,518.0933826666667,22857062.0,22857061.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_06,B,WARN,85.0,,941.7081802666667,562.1507413333334,34285492.0,24800768.0,9484724,0.27663957687992347,0,0,0,128,0,,,,,,,"tiny NIC drops n3_rx=128, n6_tx=0, rate=0.000002",/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e3_greedy,baseline,,,,run_06,C,OK,84.0,,1098.6640138666667,650.264144,39999904.0,28688124.0,11311779,0.2827951607782649,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
